ID,PC1,PC2
1,-8.036862495377356,-0.1424700623498451
2,-7.746562868029503,-0.2442327387970902
3,-9.03754711305229,-0.2334906241860002
5,-9.175682549074956,-0.3419181423441412
6,-6.60947456340807,-0.21932042157281
8,-8.457186963306413,-0.2837929870327794
9,-8.89416529820311,-0.3065777461178668
10,-8.74302784232278,-0.3254596690829585
13,-7.8946907978279475,-0.2653842345643633
14,-8.32189881870331,-0.2598235749406746
15,-7.318990005997985,-0.242862743818645
16,-8.035640990421937,-0.2863212842307628
17,-8.18037197091494,-0.2796118147755175
19,-8.03700107541938,-0.2736388730863194
20,-7.893263617170595,-0.2701868968834228
21,-8.03625654753712,-0.127425662689647
23,-8.464018693306333,-0.2187105052733163
24,-8.031029449249129,-0.320960259257093
28,-9.035649206298752,-0.21170479678693
29,-8.46325013867359,-0.1897849288456445
30,-8.609846516005286,-0.2118395762373084
31,-6.752119777129627,-0.2231209140792703
32,-8.59379910418549,-0.3093117911172444
33,-6.606136122813839,-0.1586498099940613
34,-8.74930957690272,-0.2805789478238605
35,-6.606120343608542,-0.2736915610594428
37,-8.317303594129557,-0.3033771587688612
38,-7.174252731642563,-0.2497951178953977
39,-7.5996533507222,-0.2758140957075436
40,-8.46403981784885,-0.3182443323788793
41,-6.454923253369904,-0.313511678904357
42,-8.894908987947227,-0.2180387372310518
43,-8.892932829485058,-0.2276897590895032
45,-8.029623653040014,-0.2671114813006304
46,-9.324020979679416,-0.2231854071337382
47,-9.179838329129073,-0.2459426701771706
48,-8.601865402955708,-0.3144922221161358
49,-8.743526742136275,-0.2910382533772337
50,-9.180136605652246,-0.2378448916131671
53,-7.182548197320137,-0.2050035184274464
56,-7.895344779950561,-0.2358676803052826
57,-8.46474477847507,-0.3102121960341396
58,-8.894198600121154,-0.2628577049505158
59,-8.036743880006906,-0.2448188593155294
61,-6.029271958689138,-0.2762314636071143
62,-8.036650804447891,-0.2500687019308726
63,-8.465228059976958,-0.2545403400964617
64,-8.603599203552669,-0.2386152765678792
66,-8.17417704780218,-0.2862235809421461
67,-9.17878042701133,-0.1993157936732124
70,-9.027216175189269,-0.2428680359541833
71,-9.03152507360792,-0.2717174200250498
72,-6.60558276117884,-0.2823686079255417
73,-6.171069638989884,-0.3037558671541565
76,-8.743546191351607,-0.2629452829204869
77,-8.03554024447258,-0.2803380024643999
79,-7.032426651888213,-0.2129714727371835
80,-8.466827459751558,-0.2035800811300028
81,-6.751712876423834,-0.2567830272976798
84,-9.178978281592306,-0.2193242820375476
85,-4.462454052632249,-0.2303023398678698
86,-8.178137029547848,-0.2667515166589724
88,-8.039203101920812,-0.2461901598674817
89,-9.17959323146544,-0.215504013896377
91,-9.036018568197472,-0.2542428878395941
92,-9.317218710726738,-0.237006453965234
93,-7.17633882008621,-0.3223327160167183
94,-7.745952924531676,-0.3152746058352294
95,-8.460851682723321,-0.3011224844487762
96,-8.324199582530435,-0.2118739633892059
97,-7.74975641310274,-0.2185810931136994
98,-8.894398469342324,-0.125017729616123
100,-9.172140298813224,-0.218371127274306
103,-8.751397156718658,-0.2481636204506462
104,-9.033690196660793,-0.2594563360193004
105,-8.323484033003874,-0.2191725379330629
106,-8.034916490433964,-0.3062528399413352
108,-8.459517683974646,-0.2633753905943591
110,-9.466286229532926,-0.2169347307868162
111,-8.314154306547227,-0.1070639583947572
113,-8.03693094758172,-0.2827198279894963
114,-7.035274311385783,-0.2286624605530422
115,-8.4627475831975,-0.2462148359507617
116,-8.033877955746204,-0.2799547190927214
118,-9.323076298042578,-0.2296758080305581
120,-8.465076463602003,-0.2091196891987353
123,-7.744896064444319,-0.2880686344126442
125,-9.460655304320849,-0.1970391773836813
126,-8.319562584831788,-0.3101297107409336
127,-8.751278764186797,-0.2744110696625343
128,-9.037907637720112,-0.2246574908701826
129,-8.037398169161222,-0.2014026846423339
130,-5.751763577749917,-0.2541390139750715
132,-6.889516818718319,-0.2559047541329466
133,-7.893050190816135,-0.2308755828393954
134,-8.32164780709856,-0.274787624758674
135,-8.176725836456237,-0.2010328549226133
142,-8.037235465817504,-0.2672746629358644
143,-8.180992660618566,-0.225596058374122
144,-8.323012827200833,-0.2295183957760141
146,-7.606972045959492,-0.252290841933091
147,-9.171780095509938,-0.3295342890021421
148,-8.602137060585418,-0.2534801254307475
149,-8.445424709629478,-0.2813367969413018
150,-6.750413570872966,-0.2994661075306543
151,-7.887641494001059,-0.2238820687880838
152,-7.1800409197816855,-0.2525221922690893
153,-6.034882375985438,-0.3056766156711528
154,-8.319408554555773,-0.2842880879403112
