ID,PC1,PC2
0,-9.032718568958094,11.830255061901555
1,-8.036862495377356,-0.14247006234984513
2,-7.746562868029503,-0.24423273879709026
3,-9.03754711305229,-0.2334906241860002
4,-8.751107339392844,-3.3194059147085184
5,-9.175682549074956,-0.34191814234414125
6,-6.60947456340807,-0.21932042157281
7,-7.023248780465177,-3.296971729207397
8,-8.457186963306413,-0.2837929870327794
9,-8.89416529820311,-0.3065777461178668
10,-8.74302784232278,-0.3254596690829585
11,-6.883953360590233,7.671712704970087
12,-6.8927261947700496,-3.244582826023393
13,-7.8946907978279475,-0.2653842345643633
14,-8.32189881870331,-0.2598235749406746
15,-7.318990005997985,-0.24286274381864503
16,-8.035640990421937,-0.28632128423076286
17,-8.18037197091494,-0.27961181477551755
18,-8.173042021821564,-3.3042500049583667
19,-8.03700107541938,-0.27363887308631946
20,-7.893263617170595,-0.2701868968834228
21,-8.03625654753712,-0.127425662689647
22,-5.6863008826020485,-3.3400113714258564
23,-8.464018693306333,-0.2187105052733163
24,-8.031029449249129,-0.32096025925709304
25,-8.181776734482554,-3.1969492183322017
26,-8.179487569530176,-3.2664126482374454
27,-7.463698876805686,-3.275764444597398
28,-9.035649206298752,-0.21170479678693005
29,-8.46325013867359,-0.1897849288456445
30,-8.609846516005286,-0.2118395762373084
31,-6.752119777129627,-0.22312091407927032
32,-8.59379910418549,-0.3093117911172444
33,-6.606136122813839,-0.1586498099940613
34,-8.74930957690272,-0.28057894782386056
35,-6.606120343608542,-0.27369156105944287
36,-8.89134088200153,1.743073311821745
37,-8.317303594129557,-0.30337715876886123
38,-7.174252731642563,-0.2497951178953977
39,-7.5996533507222,-0.27581409570754367
40,-8.46403981784885,-0.3182443323788793
41,-6.454923253369904,-0.31351167890435705
42,-8.894908987947227,-0.21803873723105188
43,-8.892932829485058,-0.2276897590895032
44,-8.45918390578049,-3.3031884661043276
45,-8.029623653040014,-0.26711148130063045
46,-9.324020979679416,-0.22318540713373822
47,-9.179838329129073,-0.24594267017717067
48,-8.601865402955708,-0.3144922221161358
49,-8.743526742136275,-0.2910382533772337
50,-9.180136605652246,-0.23784489161316716
51,-8.890695406062555,0.707379930403277
52,-8.59761799365407,-3.289836415013921
53,-7.182548197320137,-0.20500351842744644
54,-8.463523558727742,4.742993251222782
55,-7.750990988975885,-1.2419469606786466
56,-7.895344779950561,-0.23586768030528268
57,-8.46474477847507,-0.31021219603413963
58,-8.894198600121154,-0.2628577049505158
59,-8.036743880006906,-0.24481885931552946
60,-8.602977913280744,-3.3307462641588614
61,-6.029271958689138,-0.2762314636071143
62,-8.036650804447891,-0.2500687019308726
63,-8.465228059976958,-0.25454034009646176
64,-8.603599203552669,-0.23861527656787926
65,-8.464887846886578,-3.2735390048851176
66,-8.17417704780218,-0.28622358094214617
67,-9.17878042701133,-0.19931579367321242
68,-8.748189536848065,-3.297427217680682
69,-8.749945003778059,-3.2167734305356688
70,-9.027216175189267,-0.24286803595418338
71,-9.03152507360792,-0.27171742002504984
72,-6.60558276117884,-0.2823686079255417
73,-6.171069638989884,-0.30375586715415653
74,-7.892325485538148,5.724927446137701
75,-8.179824775959682,-3.2961838030514103
76,-8.743546191351607,-0.2629452829204869
77,-8.03554024447258,-0.28033800246439994
78,-8.174772000092483,0.8190084692354824
79,-7.032426651888213,-0.21297147273718356
80,-8.466827459751558,-0.2035800811300028
81,-6.751712876423834,-0.2567830272976798
82,-9.177843564071681,-3.206715278958211
83,-9.036357351819724,-3.3103291099555503
84,-9.178978281592306,-0.2193242820375476
85,-4.462454052632249,-0.23030233986786985
86,-8.178137029547848,-0.2667515166589724
87,-8.89004219419212,-5.3292343205170845
88,-8.039203101920812,-0.24619015986748177
89,-9.179593231465441,-0.215504013896377
90,-8.748304269578904,0.804861977002531
91,-9.036018568197472,-0.25424288783959414
92,-9.317218710726738,-0.23700645396523407
93,-7.17633882008621,-0.3223327160167183
94,-7.745952924531676,-0.3152746058352294
95,-8.460851682723321,-0.30112248444877626
96,-8.324199582530435,-0.21187396338920594
97,-7.74975641310274,-0.21858109311369947
98,-8.894398469342324,-0.125017729616123
99,-6.182854602500618,-3.2039964231073492
100,-9.172140298813225,-0.21837112727430605
101,-7.881859860794477,9.8689666934395
102,-8.036735937217744,-3.261245442549465
103,-8.751397156718658,-0.2481636204506462
104,-9.033690196660793,-0.25945633601930046
105,-8.323484033003874,-0.2191725379330629
106,-8.034916490433964,-0.3062528399413352
107,-7.4564018599741315,-3.292524775125695
108,-8.459517683974646,-0.26337539059435916
109,298.39459394157484,-0.3344274328381456
110,-9.466286229532926,-0.2169347307868162
111,-8.314154306547227,-0.10706395839475727
112,-9.035906402839684,1.7721981950980785
113,-8.03693094758172,-0.2827198279894963
114,-7.035274311385783,-0.22866246055304226
115,-8.4627475831975,-0.24621483595076177
116,-8.033877955746204,-0.2799547190927214
117,-9.03387639897253,-2.282613335880536
118,-9.323076298042578,-0.22967580803055815
119,-6.606937603801998,-3.3180256643210764
120,-8.465076463602003,-0.20911968919873533
121,-8.465143471915205,0.7400935301591073
122,-6.03591566463696,-3.280888545540802
123,-7.744896064444319,-0.2880686344126442
124,-8.460724671388212,3.8177512202798423
125,-9.460655304320847,-0.1970391773836813
126,-8.319562584831788,-0.31012971074093365
127,-8.751278764186797,-0.2744110696625343
128,-9.037907637720112,-0.22465749087018266
129,-8.037398169161222,-0.2014026846423339
130,-5.751763577749917,-0.25413901397507155
131,-9.314485300274752,-3.324838493415136
132,-6.889516818718319,-0.25590475413294667
133,-7.893050190816135,-0.23087558283939547
134,-8.32164780709856,-0.274787624758674
135,-8.176725836456237,-0.20103285492261339
136,-8.606900707687666,-3.2529787308283553
137,-9.180060256220363,-3.2328212436219887
138,-7.033231515349896,4.677882130319737
139,-7.455237948236186,-3.328712721898343
140,-8.890075776368807,4.716383870018787
141,-7.8942465970373945,-3.277330116529173
142,-8.037235465817504,-0.2672746629358644
143,-8.180992660618566,-0.22559605837412208
144,-8.323012827200833,-0.22951839577601413
145,-8.037318889588839,-3.253425219102752
146,-7.606972045959492,-0.25229084193309104
147,-9.171780095509938,-0.3295342890021421
148,-8.602137060585418,-0.25348012543074755
149,-8.445424709629478,-0.2813367969413018
150,-6.750413570872966,-0.29946610753065434
151,-7.887641494001059,-0.2238820687880838
152,-7.1800409197816855,-0.25252219226908934
153,-6.034882375985438,-0.30567661567115284
154,-8.319408554555773,-0.28428808794031124
155,-8.75248714056811,-0.1951685223496664
156,-8.178339961041884,-3.301086802137326
157,-6.887586650596958,-3.251502453162886
158,-8.894422848233473,-0.26146810799659903
159,-7.036603528269367,-3.338259074422762
160,-8.604020794343313,-0.2198529422411629
161,-8.179809667378427,-0.2947796282371047
162,-8.751577099942478,-0.25427332345336895
163,-6.888264315092053,-3.343482246279108
164,-5.896869884724517,-3.2116719876362674
165,-7.036979801122392,-0.27156552188367616
166,-8.452292092771584,3.7256102229951127
167,-8.747015030906892,-0.2390608633665289
168,-8.462321836606367,-0.2335975171042617
169,-8.894505686657716,-0.29475243504088355
170,-8.608540094918997,-0.251540084873298
171,-8.464983961513985,-5.289261856872297
172,-8.600081685924254,-0.3147893883192299
173,-8.464618605851797,-0.21708873984382085
174,-8.611250479824019,-0.16316234602141597
175,-7.320311307293086,-0.3456632377071462
176,-8.465261105077566,-0.21970391894738633
177,-7.463372512758276,-0.2482514484873986
178,-7.751112979661996,-0.20455994733732566
179,-7.894186146815666,-0.28032989146808995
180,-8.750145583275467,-0.2772258248947257
181,-8.316720429725896,-0.2750998700906645
182,-7.603467967834869,-0.2605027136887317
183,-8.750065344550423,-3.269572288388932
184,-8.607606891157431,-3.334390764782021
185,-8.03719224949437,-0.24211261449841817
186,-7.316501920518893,-0.27558070715821753
187,-8.317157722868444,-0.31226622737524834
188,-8.317876447412191,-0.30417317306417474
189,-8.179886465598369,6.795051721066552
190,-6.463702696576193,-0.316860606760056
191,-7.035285938161679,-0.2864261835491823
192,-8.178500470845155,-0.2552817365038385
