ID,PC1,PC2
1265,-9.18783670026992,-3.446588845095776
1268,-8.894415683325557,-3.4832511798251473
1276,-9.044399329814986,-3.414124717084349
1286,-8.190701347069528,-3.484809471232558
1288,-9.332073512254214,-3.4633651384404085
1290,-9.04928105420652,-3.2864258947327314
1298,-9.760546779521537,-3.5118165573873967
1299,-7.045573709267131,-3.494467944235928
1301,-7.046920809339067,-3.4413709381271382
1310,-9.617924567147837,-3.4780856151649755
1312,-8.760959094131552,-3.380111892749785
1314,-8.616104515116813,-3.4508833041895066
1316,-9.331640443561394,-3.4931380648455757
1327,-8.75987058813251,-3.483262172577271
1329,-8.187641618308922,-3.595152661286945
1336,-7.332304451241768,-3.5898763857510447
1342,-8.471020759152422,-3.4845007226821094
1344,-7.04677390075578,-3.5233909121454223
1350,-8.331146387362821,-3.4686922371399023
1351,-8.473792893124621,-3.493079959363096
1352,-8.618281102960104,-3.444407377721777
1354,-9.06025357547946,-3.379683193139867
1360,-9.046651275067354,-3.5249661594895585
1370,-9.32979882206326,-3.4016130230035784
1389,-8.476759215280053,-3.370764469531684
1394,-9.331792311666248,-3.4516593364874426
1401,-8.903334648388078,-3.4614408067839326
1410,-8.474322248818401,-3.4531233971599513
1412,-9.331218221584884,-3.473000771572964
1416,-8.18718850101326,-3.550036066818517
1421,-7.617761477601122,-3.4877463891685117
1428,-8.18378806040255,-3.547802465504673
1430,-9.754774932831191,-3.4778015718991804
1445,-8.33087974025594,-3.573978449958693
1455,-9.189103625633267,-3.4172256112931745
1458,-8.900262564081695,-3.429328350909174
1465,-8.762008378020514,-3.410673380628689
1470,-7.614609520183242,-3.3889144523077817
1479,-8.903811815397349,-3.5149632720601707
1483,-8.473336111667162,-3.462895495317179
1485,-7.33057837314372,-3.523160191385634
1488,-8.474992743364703,-3.421928998613496
1489,-8.617855846208244,-3.484781866814576
1494,-9.188510124797556,-3.5211261293032625
1505,-7.75628547344518,-3.546612368719526
1508,-9.474309326783564,-3.5179090429743867
1513,-8.045163219734722,-3.5080395085852887
1514,-9.614411537881432,-3.415362766869111
1515,-8.188255538231491,-3.4804693734487264
1523,-9.760323269302154,-3.3792306436047137
1526,-8.903254280071959,-3.387990477040933
1531,-9.47207727554443,-3.503626755229503
1536,-8.903931065699295,-3.57417107510712
1537,-8.760660284493936,-3.452146058444361
1541,-7.325327594595884,-3.5523612390020607
1553,-9.188905615399207,-3.4084502499415725
1555,-9.18808425722239,-3.5675960938090463
1557,-8.759621906243531,-3.4361170493096367
1559,-9.756318852664071,-3.4664585725616464
1562,-8.901273022795799,-3.414168736965674
1565,-8.328458113093214,-3.497966270431984
1566,-8.762818530781807,-3.435845155674011
1567,-7.885158189557243,-3.472225248106878
1576,-8.759999199392535,-3.441354375553127
1584,-9.616464246938806,-3.4547600926923305
1590,-9.186535359669673,-3.464201356523149
1591,-7.046469560675018,-3.3602308732641317
1595,-7.61855671225081,-3.3875761388802923
1601,-7.618787670081621,-3.385821827865834
1612,-8.902596916680073,-3.4939748273100735
1622,-8.618606159699397,-3.390149892699243
1623,-9.89883883545806,-3.4574808872187814
1639,-8.189207470264448,-3.5017008348174508
1675,-7.617598518355779,-3.436711761880124
1688,-9.186942809334612,-3.512141848821925
1715,-9.33177012489211,-3.493775290901992
1720,-8.751633529188569,-3.4352283306973983
1721,-8.188107732876501,-3.4343151274203687
1723,-9.473660946313856,-3.4864310933345153
1725,-8.33062179990905,-3.534321886834133
1736,-9.61746074517611,-3.3595303186298753
1751,-9.760096885316203,-3.4245048904048216
1753,-7.757379191230816,-3.402647879976583
1779,-8.616250288509066,-3.4304600930137656
1782,-8.327204701577003,-3.4683501633803813
1797,-9.327449505769836,-3.4983428767459483
1798,-8.904178351030236,-3.417586094672571
1806,-8.475301281077146,-3.4039461532429325
1807,-9.758343273551716,-3.5170685926668894
1808,-8.045939221772105,-3.498369656943091
1815,-9.184989206235908,-3.4519560475258064
1817,-8.473871146343416,-3.5311555638471512
1827,-9.046790315586374,-3.3725369322846617
1840,-9.612698150325572,-3.4853495642494727
1850,-8.046640880943565,-3.4378082526688476
1864,-9.046234823706367,-3.4057970618879363
1869,-8.759155190949265,-3.5531130035525615
1872,-7.47479988476611,-3.3990753505418523
1874,-8.184273617499924,-3.5683852947986496
1876,-9.33081107616912,-3.5132667938368964
1880,-7.896964044202821,-3.4764697700487113
1886,-8.039466525020892,-3.479737464889109
1891,-9.760874323282096,-3.3079104761284026
1897,-7.89981958006719,-3.4433065862406265
1899,-9.044034271055551,-3.488871450803256
1903,-7.904792576952403,-3.3362731289237546
1928,-8.329125520778085,-3.455397777442384
1939,-7.617011280204204,-3.536643820329031
1942,-8.473912081335545,-3.4248668467734027
1959,-6.191736900327785,-3.4272505759562897
1965,-6.185966858074195,-3.4170668909479764
1970,-9.61626720730862,-3.4720479432404026
1972,-9.188450104485073,-3.5083585110893356
1980,-9.33205028130604,-3.4506869074065203
1990,-9.902668925421851,-3.4981348267156096
1991,-9.189859571795274,-3.4866308646434465
2005,-9.331832908681095,-3.4289434573898574
2008,-9.188852623540972,-3.2742370442491207
2016,-8.619451672119325,-3.438737554701443
2020,-8.761061194115884,-3.452346922347199
2027,-9.329915211296862,-3.4582182528575287
2030,-9.76093083544959,-3.4968007365461693
2035,-7.759875576388835,-3.463614070027542
2060,-8.6137719457809,-3.461079807167492
2072,-9.331279337049653,-3.399330017277238
2075,-9.616315977930448,-3.4451900461758456
2077,-9.331945951971804,-3.44915484314542
2087,-9.04320104962177,-3.4816997956435065
2088,-8.185268526636289,-3.484360906152164
2096,-7.902738612555684,-3.474574260707055
2111,-9.477481642069954,-3.402491711214424
2113,-9.323354852476523,-3.4732970725247614
2114,-8.75352479466348,-3.3875408045778985
2117,-9.189727704030458,-3.439332574269122
2121,-9.047363244172136,-3.4394805724625663
2123,-8.045715934517112,-3.4239405219389867
2125,-9.328282029564672,-3.5501769849107014
2128,-9.473922990349807,-3.416977328666365
2152,-9.47395449027063,-3.4732754562511614
2154,-9.191600319159832,-3.399261144297272
2171,-9.047379460161732,-3.3776909757097
2173,-9.33061820233482,-3.4963114728370908
2174,-7.188968185424363,-3.4401003037787095
2176,-9.47370153852528,-3.498079741137543
2177,-9.33282849073398,-3.408179815357766
2179,-9.0414100689526,-3.3785149894414386
2180,-6.331152619029456,-3.435676083979824
2182,-8.903541146794153,-3.442083274654423
2185,-9.759764979786484,-3.474181193490306
2188,-8.903072250867814,-3.3909402437067215
2189,-9.047318159613864,-3.3650911232741425
2192,-9.902560369908626,-3.4642471802686883
2201,-9.325689870205077,-3.4549574221604926
2204,-9.615204633368991,-3.43101176464933
2208,-7.903134754847267,-3.423468125897992
2213,-7.896891212966795,-3.558891449808362
2221,-8.618797007947933,-3.436478935660201
2231,-8.617695930097874,-3.430849983594967
2237,-8.900006269602205,-3.3808065631242448
2243,-9.189159885882662,-3.438255202523777
2280,-9.617162548781431,-3.5230613921114533
2285,-9.474056281119692,-3.405761021983928
2288,-8.616813654574763,-3.4325567045866365
2296,-9.187736105975985,-3.413028740703809
2297,-9.186412949364763,-3.4598312726449936
2301,-8.191161219475147,-3.4515213381010357
2302,-9.476260411701077,-3.387215423909965
2307,-7.9034393386013555,-3.5003651306888734
2309,-9.474558954102749,-3.474110927213873
2318,-9.610637490124438,-3.5509725763641993
2322,-9.18652185045656,-3.543102533512369
2349,-8.47106739175586,-3.4534603804495503
2350,-9.3309711018886,-3.4839052873160754
2356,-9.614309970427636,-3.3937506554890255
2357,-8.330780444315108,-3.5150954608616947
2362,-8.760815411305181,-3.4452931105416496
2367,-9.044876484660074,-3.4903556739931023
2379,-8.473852272888578,-3.531643878198316
2385,-9.04182454566078,-3.3861320065535843
2387,-10.038577964206484,-3.519285959622352
2393,-9.474706354990069,-3.4128823273625533
2395,-7.045516891471853,-3.4748925081504236
2404,-8.473043801648368,-3.434594508064503
2406,-8.758631963152762,-3.362148225154467
2411,-7.044133790835515,-3.4227082457529385
2416,-9.182323105720418,-3.5169684238996552
2417,-9.047267339100976,-3.3657678610856134
2419,-9.044086057362742,-3.4025485062398095
2424,-9.46929745739946,-3.4748818291335732
2427,-8.328676316563286,-3.440016665696764
2430,-8.898635306457921,-3.5450486454044343
2431,-7.4711522697638255,-3.424354270385332
2432,-7.761701690382721,-3.3839834770346457
2435,-8.18857061223488,-3.429772934391466
2440,-9.757162478559824,-3.5193272794148824
2442,-8.189409137127399,-3.4012654058409915
2459,-8.612494820490012,-3.414297741566904
2464,-9.614095115203732,-3.3852599790771243
2468,-8.902957814773135,-3.3816567267438624
2472,-8.474493515837331,-3.42019799312146
