ID,PC1,PC2
422,-8.464807215986186,-3.3097931322418743
432,-8.739822992539866,-3.2860156562261364
434,-7.750103360797966,-3.2702712551434354
443,-8.465254659949553,-3.297054179606047
456,-8.322245944788623,-3.129322390789284
468,-8.1770946048942,-3.2758311279589796
472,-8.604996038084893,-3.278083412675524
475,-7.465498694915675,-3.2943652845041727
476,-8.602286892581656,-3.3125461042659023
479,-7.895577692321629,-3.176397376327225
486,-8.895624332265259,-3.244205394178316
487,-8.749885817000306,-3.283284241896494
493,-8.17584783169294,-3.2700496715827247
511,-8.603075947185056,-3.251929485937014
517,-8.179477235588283,-3.250410707932107
519,-8.034710589550924,-3.250371317693651
522,-8.606492031247729,-3.301688393163239
532,-8.463697792074584,-3.2532750249663067
537,-6.894394149782911,-3.2647181611848364
556,-8.13751593160891,-3.309035133601334
564,-7.608575239315984,-3.2862128204207344
573,-9.177327642019332,-3.3024847970870557
574,-8.608842477428128,-3.2769592653684407
576,-8.749656856458122,-3.34370146019565
577,-8.750721284246337,-3.265026121166504
607,-6.321777811573183,-3.361724930807477
612,-9.461848411257954,-3.2705508903208704
620,-6.751335164429156,-3.2833900473259754
627,-8.894314586938293,-3.276823538914737
648,-6.463941314115922,-3.3273869991413716
649,-8.180444976632192,-3.2674908746140363
657,-8.599538769130163,-3.274136491628062
660,-8.888423100080606,-3.296715520375339
661,-8.609497782831403,-3.2386377925423773
662,-8.027874026580141,-3.3159718257405206
675,-9.037048306885731,-3.259294778217178
678,-8.464315942226026,-3.2757124432961056
682,-8.750891185545425,-3.262425154003395
696,-8.182246673050566,-3.205565717722414
699,-8.465784268150708,-3.284777677898461
706,-7.465770183424762,-3.2856686509642063
716,-8.750378669387523,-3.261964042322803
718,-7.46718927813864,-3.2513007106038248
746,-8.317879896672919,-3.247229499971686
749,-8.608434332843856,-3.2031577777157407
759,-8.748751439019617,-3.309289338590191
776,-8.752094805369778,-3.2801573378235283
777,-8.96570041409065,-3.359233041985763
785,-7.6069760875521855,-3.2937175739391593
792,-7.322729545991681,-3.267973614086827
793,-8.608933217069822,-3.211204713618599
796,-8.750700053482262,-3.319168812440974
808,-8.751145055690932,-3.2022606523284396
810,-7.320087013848271,-3.3068442054174376
814,-8.889044284675487,-3.29337837327382
826,-8.75096043113019,-3.238356387748173
844,-7.465719484071842,-3.2380360061837496
845,-5.178633711885843,-3.277246203802924
848,-9.178118081888645,-3.2924527315355427
849,-8.896311996876069,-3.218868795168899
854,-7.323873433508453,-3.2413983358024354
857,-7.750908186220968,-3.2454091410118733
862,-7.465651223022597,-3.2459630461602136
865,-8.468193000853736,-3.233955471966207
870,-7.314190538831998,-3.336543529752676
872,-9.321290401652172,-3.308171923189687
882,-8.027472192351631,-3.286049907118019
886,-8.895717838389801,-3.2288766725019236
893,-8.320607176882355,-3.3104882485914477
900,-8.89639016837856,-3.25006963082744
902,-5.321560754031965,-3.3056430605543925
903,-9.17166655401694,-3.2350599448114035
924,-8.751203938750512,-3.224633780073524
925,-8.602241942185284,-3.272134766689519
929,-6.749643033369522,-3.3125189468830447
930,-8.88120788087362,-3.302334793153074
936,-7.464825059771582,-3.281366846098831
937,-8.467313610154804,-3.215362357564872
976,-6.464455639690034,-3.2862812667921455
977,-7.593209567588442,-3.266551020916693
978,-6.028618326726427,-3.270077955238244
987,-8.028334028885245,-3.2430831179834665
989,-8.750597194533274,-3.2284513926430227
1004,-7.458006748973091,-3.2865925653644457
1023,-8.610439280315099,-3.181243997235727
1025,-8.458642736900728,-3.247526758154524
1039,-8.037081544040307,-3.1960234821910336
