ID,PC1,PC2
0,-8.616509004264117,-0.3293456783335541
1,-9.616819141367952,-0.4357167088868666
3,-9.757331888940882,-0.5212193303954896
7,-8.90217161621867,-0.4353668262048101
8,-7.900487563274547,-0.4519413016506127
9,-8.615660546559187,-0.4857646462055786
10,-8.759340157974304,-0.4966751198423393
11,-8.615968814712268,-0.3140452099453535
13,-9.044336248598873,-0.408686390701969
16,-9.044000014771386,-0.3694242423579948
17,-9.188641891160591,-0.4160096958312818
18,-7.187235805628013,-0.3565531097781627
19,-9.329323444748445,-0.4571368175889213
20,-7.186499148943638,-0.4746711307982098
22,-9.04469517743876,-0.5168547818190136
23,-9.472970613336376,-0.4379656779894406
24,-8.612533706652739,-0.4564411425200764
25,-9.759450852367632,-0.4391261400862457
26,-9.18413563923326,-0.5242601207658995
27,-9.759732956225823,-0.4224537058829682
29,-7.76132678373654,-0.4049648090311568
32,-6.611948592930025,-0.5031948124603001
33,-9.044550576524406,-0.4673689834528279
34,-9.185082126751617,-0.4285104765400508
37,-9.610550826905484,-0.4449602743919029
38,-8.615504115694314,-0.4910454775605874
40,-7.61396005745478,-0.4252690406772613
41,-9.045730843655525,-0.3919498559518675
44,-8.617772872817586,-0.462861208412487
45,-9.758839677696884,-0.3888846294060999
47,-9.898736225184644,-0.4373673615680655
48,-7.75730362427338,-0.5178077350754936
49,-9.042167501904004,-0.5078903736187286
50,-8.329636764230862,-0.3981134310241003
51,-9.47359693482597,-0.2819270958344479
53,-9.75444896240217,-0.4152723483307549
55,-9.331114142281416,-0.4471644597617623
56,-9.614784545611991,-0.4392053654434916
57,-8.9025162782848,-0.4129468958940304
59,-9.041584132009506,-0.4600692563613195
61,-8.896810809629857,-0.2897235714688022
63,-9.043420741192444,-0.4263934013121253
65,-9.902451064356551,-0.4332134965545005
66,-9.044649030382027,-0.4001191547717342
69,-10.041948407973326,-0.4004071393632874
70,-8.616672548665786,-0.3883713289701469
72,-8.472813567267853,-0.4219666003120918
73,-8.901645512642954,-0.4605131560251524
74,-8.757361238465652,-0.3934653926383596
78,-8.61659542894471,-0.4664589403044613
79,-8.186967656954542,-0.4621151758927341
80,-9.033026843893731,-0.4296223934531706
81,-8.470146886688978,-0.415479688573643
82,-8.90060096691648,-0.4681326709598108
84,-9.474122072811014,-0.4663664825838391
86,-9.18542257622114,-0.3961646018618734
89,-9.04303995739589,-0.427213693102806
90,-9.19070598586784,-0.3175667200267282
91,-7.900472838689751,-0.5954856619007752
92,-8.043567027477735,-0.4391063481531741
93,-8.331195327948134,-0.4219690450698548
94,-8.184943050121676,-0.4492137109607942
98,-7.615520043808364,-0.4856856079682888
99,-9.044622321069614,-0.5033873542019439
101,-9.044573474186244,-0.438407960929923
102,-8.614905130042867,-0.4505434517733787
103,-9.472675760858868,-0.3658290526626191
104,-9.18216297316432,-0.4712716334489389
106,-9.474591889965383,-0.4691452026380105
107,-8.610829076596568,-0.413914596567112
108,-9.331416183688075,-0.3900937018400842
109,-9.325587587006575,-0.4057469499286187
110,-9.04049412197863,-0.4170424071578587
111,-8.472236618400126,-0.4509999647062091
112,-8.47417998679319,-0.3927332913313772
113,-8.33071173967886,-0.531152258221169
114,-9.327266800810914,-0.3783634129701739
115,-9.045080648139091,-0.3867058782530763
116,-8.431749283236307,-0.5346943257369392
118,-9.3300260681586,-0.4535021339825114
119,-9.187811538360672,-0.3670314392961192
120,-9.902502237732437,-0.3943898633697381
